title,authors,year,journal_or_preprint_server,DOI,paper_url,legal_fulltext_url,access_status,source_type,relevance_tags,notes
Neural scaling of deep chemical models (ChemGPT),"Frey NC, Soklaski R, Axelrod S, Samsi S, Gomez-Bombarelli R, Coley CW, Gadepally V",2023,Nature Machine Intelligence / ChemRxiv,NOT_VERIFIED_THIS_SESSION,https://www.nature.com/articles/s42256-023-00740-3,blocked this session (EGRESS_BLOCKED_THIS_SESSION),OPEN_ACCESS preprint exists on ChemRxiv (blocked this session); journal version status NOT_VERIFIED,peer-reviewed + preprint,ChemGPT;SELFIES;GPT-Neo;PubChem10M;scaling-laws,Checkpoints (4.7M/19M/1.2B) referenced on HuggingFace; HuggingFace itself blocked this session for direct model-card confirmation.
Chemformer: a pre-trained transformer for computational chemistry,"Irwin R, Dimitriadis S, He J, Bjerrum EJ",2022,Machine Learning: Science and Technology (IOP),NOT_VERIFIED_THIS_SESSION,https://iopscience.iop.org/article/10.1088/2632-2153/ac3ffb,blocked this session (EGRESS_BLOCKED_THIS_SESSION),OPEN_ACCESS (blocked this session); code open at github.com/MolecularAI/Chemformer,peer-reviewed,Chemformer;MolBART;BART;denoising-pretraining,Same maintainer organization (MolecularAI) as this project's existing REINVENT4 dependency.
SMILES Transformer: Pre-trained Molecular Fingerprint for Low Data Drug Discovery,"Honda S, Shi S, Ueda HR",2019,arXiv,NOT_VERIFIED_THIS_SESSION,https://arxiv.org/abs/1911.04738,blocked this session (EGRESS_BLOCKED_THIS_SESSION),OPEN_ACCESS (blocked this session); code open at github.com/DSPsleeporg/smiles-transformer,preprint,fingerprint-extractor;not-generative;100-char-cap;long-SMILES-counterexample,"Cautionary counterexample: pretraining corpus deliberately capped at <=100 characters, illustrating that long-SMILES support cannot be assumed of generic pretrained SMILES models."
Group SELFIES: a robust fragment-based molecular string representation,"Cheng AH, Cai A, Miret S, Malkomes G, Phielipp M, Aspuru-Guzik A",2023,Digital Discovery (RSC),NOT_VERIFIED_THIS_SESSION,https://pubs.rsc.org/dd/article/2/3/748/804841,blocked this session (EGRESS_BLOCKED_THIS_SESSION),OPEN_ACCESS (RSC Digital Discovery is a fully OA journal; blocked this session),peer-reviewed,Group-SELFIES;fragment-representation;stereochemistry-tokens;100-percent-validity,Best stereochemistry-representation properties found this session among string notations (explicit stereo bond-modifier tokens); no pretrained checkpoint exists in this representation.
Self-referencing embedded strings (SELFIES): A 100% robust molecular string representation,"Krenn M, Hase F, Nigam A, Friederich P, Aspuru-Guzik A",2020,Machine Learning: Science and Technology (IOP),NOT_VERIFIED_THIS_SESSION,https://iopscience.iop.org/article/10.1088/2632-2153/aba947,blocked this session (EGRESS_BLOCKED_THIS_SESSION),OPEN_ACCESS (blocked this session),peer-reviewed,SELFIES;100-percent-validity;representation-baseline,Base representation for ChemGPT (C10) and the recommended validity-oriented benchmark baseline.
Gotta be SAFE: A New Framework for Molecular Design (SAFE),"Noutahi E, Gabellini C, Craig M, Lim JSC, Tossou P",2023/2024,Digital Discovery (RSC) / arXiv,NOT_VERIFIED_THIS_SESSION,https://pubs.rsc.org/dd/article/3/4/796/846020,blocked this session (EGRESS_BLOCKED_THIS_SESSION); code+README directly read via github.com/datamol-io/safe,"OPEN_ACCESS paper (blocked this session); OPEN_CODE (verified: Apache-2.0 code, CC BY 4.0 data, CC BY-NC 4.0 weights)",peer-reviewed + code repo (directly fetched),SAFE;fragment-linking;GPT2;87M-params;non-commercial-weights,License on released weights is CC BY-NC 4.0 (non-commercial) - confirmed directly from README this session.
Improving Small Molecule Generation using Mutual Information Machine (MolMIM),"Reidenbach D, Livne M, Ilango RK, Gill N, Israeli J",2022/2023,arXiv,NOT_VERIFIED_THIS_SESSION,https://arxiv.org/abs/2208.09016,blocked this session (EGRESS_BLOCKED_THIS_SESSION),"OPEN_ACCESS (blocked this session); deployed model is NVIDIA-hosted/gated, not a plain checkpoint download",preprint,MolMIM;NVIDIA-BioNeMo;latent-optimization;infrastructure-gated,"Excluded on infrastructure/licensing grounds (paid/enterprise NVIDIA NIM platform), independent of technical merit."
GraphAF: a Flow-based Autoregressive Model for Molecular Graph Generation,"Shi C, Xu M, Zhu Z, Zhang W, Zhang M, Tang J",2020,ICLR / arXiv,NOT_VERIFIED_THIS_SESSION,https://arxiv.org/abs/2001.09382,blocked this session (EGRESS_BLOCKED_THIS_SESSION),OPEN_ACCESS (blocked this session),peer-reviewed (ICLR) + preprint,graph-autoregressive;normalizing-flow;valency-rules;benchmark-scale,"Representative of the graph-autoregressive family; typically validated at drug-like (ZINC250k) scale, well below saponin atom counts."
Geometry-complete diffusion for 3D molecule generation and optimization (GCDM),"(exact author list NOT_VERIFIED_THIS_SESSION, commonly attributed to Morehead A. and coauthors)",2024,Communications Chemistry (Nature),NOT_VERIFIED_THIS_SESSION,https://www.nature.com/articles/s42004-024-01233-z,blocked this session (EGRESS_BLOCKED_THIS_SESSION),OPEN_ACCESS (blocked this session),peer-reviewed,3D-diffusion;SE3-equivariant;chirality-aware;future-work,Explicitly chirality-aware by design; disqualified for the CURRENT project phase by the no-GPU-training constraint.
Stereochemistry-aware string-based molecular generation,"Tom G, Yu E, Yoshikawa N, Jorner K, Aspuru-Guzik A",2025,PNAS Nexus / ChemRxiv,NOT_VERIFIED_THIS_SESSION,https://academic.oup.com/pnasnexus/article/4/11/pgaf329/8286226,blocked this session (EGRESS_BLOCKED_THIS_SESSION),OPEN_ACCESS (PNAS Nexus is fully OA; blocked this session),peer-reviewed + preprint,stereochemistry-benchmark;methodology;GA;RL;primary-evidence-source,"Single most directly relevant methodology paper found this session for designing this project's own stereochemistry validation/benchmark (07_benchmark_plan.md, 04_stereochemistry_review.md)."
TeroKit: A Database-Driven Web Server for Terpenome Research,Zeng T. et al. (exact author list NOT_VERIFIED_THIS_SESSION),2020,Journal of Chemical Information and Modeling,NOT_VERIFIED_THIS_SESSION,https://pubs.acs.org/doi/abs/10.1021/acs.jcim.0c00141,blocked this session (EGRESS_BLOCKED_THIS_SESSION),PAYWALLED_NO_LEGAL_FULLTEXT_FOUND this session,peer-reviewed,TeroKit;terpenoid-database;data-source;not-generative,Named in this project's own context as the source of the existing triterpenoid dataset; bulk-download/redistribution terms need explicit local verification.
"Where to cut, how deep: BPE and Unigram-LM on chemistry SMILES",(exact author list NOT_VERIFIED_THIS_SESSION),2026,arXiv,NOT_VERIFIED_THIS_SESSION,https://arxiv.org/pdf/2607.05691,blocked this session (EGRESS_BLOCKED_THIS_SESSION),OPEN_ACCESS (blocked this session),preprint,tokenization;BPE;Unigram-LM;natural-products;NPBPE,Directly relevant to 05_long_context_512_review.md: quantifies how tokenizer choice changes effective sequence length by roughly a third; introduces natural-product-specific BPE tokenizers (NPBPE).
Comparing SMILES and SELFIES tokenization for enhanced chemical language modeling,(exact author list NOT_VERIFIED_THIS_SESSION),2024,Scientific Reports (Nature) / PMC,NOT_VERIFIED_THIS_SESSION,https://www.nature.com/articles/s41598-024-76440-8,blocked this session (EGRESS_BLOCKED_THIS_SESSION),OPEN_ACCESS (blocked this session),peer-reviewed,tokenization;SMILES;SELFIES;chemical-language-modeling,Reports SELFIES variants achieving 0.995-0.999 validity vs 0.951-0.994 for SMILES variants on MOSES/GuacaMol benchmarks (WebSearch synthesis).
On the difficulty of validating molecular generative models realistically: a case study on public and proprietary data,(exact author list NOT_VERIFIED_THIS_SESSION),2023,PMC / Journal of Cheminformatics (likely),NOT_VERIFIED_THIS_SESSION,https://pmc.ncbi.nlm.nih.gov/articles/PMC10664602/,blocked this session (EGRESS_BLOCKED_THIS_SESSION),OPEN_ACCESS (PMC; blocked this session),peer-reviewed,benchmark-critique;validity;FCD;distribution-learning-metrics,Reports that validity/FCD/KL scores are anti-correlated with novelty; cited caution against relying on distribution-learning metrics alone (used in 07_benchmark_plan.md).
Randomized SMILES strings improve the quality of molecular generative models,"Arus-Pous J, Johansson SV, Prykhodko O, Bjerrum EJ, Tyrchan C, Reymond JL, Chen H, Engkvist O",2019,Journal of Cheminformatics,NOT_VERIFIED_THIS_SESSION,https://link.springer.com/article/10.1186/s13321-019-0393-0,blocked this session (EGRESS_BLOCKED_THIS_SESSION),OPEN_ACCESS (blocked this session),peer-reviewed,data-augmentation;randomized-SMILES;chemical-space-coverage,Basis for this project's recommended randomized-isomeric-SMILES augmentation strategy (06_dataset_and_finetuning_plan.md).
Natural product-likeness score and its application for prioritization of compound libraries,"Ertl P, Roggo S, Schuffenhauer A",2008,Journal of Chemical Information and Modeling,NOT_VERIFIED_THIS_SESSION,https://pubs.acs.org/doi/10.1021/ci700286x,blocked this session (EGRESS_BLOCKED_THIS_SESSION),PAYWALLED_NO_LEGAL_FULLTEXT_FOUND this session (author-hosted reprint may exist at peter-ertl.com per search results but not independently fetched this session),peer-reviewed,NP-likeness;Bayesian-score;evaluation-metric,Alternative/complementary metric to NPClassifier for the saponin-likeness proxy score (07_benchmark_plan.md).
This repository's own project artifacts,Hugo Wong (project author),2026,internal repository documentation,n/a,n/a,n/a (internal to HugoWong-git/saponin-generator),INTERNAL_PRIMARY_SOURCE,primary_repo_artifact,internal;REINVENT4;46k-epoch-comparison;NPClassifier-integration,"See priors/README.md, reports/46k_prior_epoch_comparison.md, references/fcd_npclassifier_api.md, configs/tl/*.toml, configs/sampling/*.toml - the existing state this review builds on."
